Country,Code,Year,GDP,GDP_growth,CPI,CPI_growth,unemployment_rate,annual_tests_per_thousand,cumulative_tests,annual_vaccinations_per_million,avg_workplace_closure,covid_deaths_per_million
Oman,OMN,2019,88060858257.4772,-3.764779445202456,0.490815362820714,-44.80956536282263,NA,NA,NA,NA,NA,NA
Oman,OMN,2020,75909492847.8544,-13.798826913648703,-0.406402919465837,-182.80158899881232,2.94,NA,NA,1037.72283,1.224,316.47516328
Oman,OMN,2021,87323797139.1417,15.03672842890021,1.68221185876079,-513.9271098179696,1.9,NA,NA,1297943.018067,1.452,631.25908242
Oman,OMN,2022,109852795838.752,25.799380509888515,2.50614250614251,48.979006008712425,3.3,NA,449.439,203459.617371,0.14,30.65390714
Oman,OMN,2023,105895708712.614,-3.6021724307740257,0.950782997762896,-62.06189410887274,NA,NA,NA,NA,NA,0
Oman,OMN,2024,106942782834.85,0.9887786152672334,0.593589236248421,-37.56837915222703,NA,NA,NA,NA,NA,0
Other small states,OSS,2019,158082460872.925,0.35712207960504594,1.37436338032504,-47.62031052899427,NA,NA,NA,NA,NA,NA
Other small states,OSS,2020,145642308336.75,-7.869407186275419,0.638544956776647,-53.5388554498862,NA,NA,NA,NA,NA,NA
Other small states,OSS,2021,171465890505.668,17.730824554915355,2.44608867175474,283.072271700729,NA,NA,NA,NA,NA,NA
Other small states,OSS,2022,181571679219.508,5.893760376502368,7.00530945399787,186.38820558260883,NA,NA,NA,NA,NA,NA
Other small states,OSS,2023,194578375098.132,7.1633946078671045,5.09396758978879,-27.284188896441876,NA,NA,NA,NA,NA,NA
Other small states,OSS,2024,205790426259.972,5.762228796589245,2.06284153005467,-59.504227427952664,NA,NA,NA,NA,NA,NA
Pakistan,PAK,2019,320909472770.669,-9.889331209073768,10.5783618004555,108.31513434305468,4.83,NA,NA,NA,NA,NA
Pakistan,PAK,2020,300425609817.981,-6.383065845901761,9.73999313898157,-7.925316578204302,6.74,28.937,28.937,NA,1.533,41.2268055256
Pakistan,PAK,2021,348516647445.148,16.007635852450772,9.49621056124947,-2.502902971835052,6.338,72.066,101.003,629942.3547495,2.332,77.447469398
Pakistan,PAK,2022,374890295666.694,7.567399840117201,19.8738599646655,109.28200608528402,NA,23.843,124.846,672786.0299,0.542,7.0332183319
Pakistan,PAK,2023,337885531778.052,-9.870824696284489,30.7681280657005,54.81707187433311,NA,NA,NA,96434.8252814,NA,0.0861712875
Pakistan,PAK,2024,373071855731.539,10.413681748468578,12.6325318530452,-58.94280007522584,NA,NA,NA,NA,NA,0
Panama,PAN,2019,69778991200,3.65812401645914,-0.355083821021219,-146.62472569480337,6.409,NA,NA,NA,NA,NA
Panama,PAN,2020,57059846500,-18.227756637444767,-1.55027540803762,336.5942113552335,18.548,299.334,299.334,NA,1.686,893.7062255000001
Panama,PAN,2021,67396392500,18.115271305540578,1.63070337301895,-205.18797915288732,10.293,736.288,1035.622,1411949.73329,2.167,793.4966025900001
Panama,PAN,2022,76276116700,13.175370180236278,2.85965128834714,75.36305717286994,8.281,458.021,1493.643,564415.517484,0,259.49974554
Panama,PAN,2023,83318176900,9.232326584869258,1.48641355277038,-48.021160523053936,6.678,NA,NA,114646.49903,NA,19.99647797
Panama,PAN,2024,86260400000,3.531309984772362,0.693225551004513,-53.3625383250524,8.607,NA,NA,NA,NA,24.99559723
Peru,PER,2019,228346006003.648,2.582692494902687,2.25212191358024,49.23073258132229,3.379,NA,NA,NA,NA,NA
Peru,PER,2020,201409694755.934,-11.796269932255216,2.00241205759293,-11.087759258571472,7.179,163.798,163.798,NA,1.716,2780.12808854
Peru,PER,2021,226328766459.634,12.372329809593657,4.27166381536798,113.325913573597,5.097,482.501,646.299,1509114.59388,2.121,3271.592921
Peru,PER,2022,246065570308.155,8.720413298431103,8.33370630096233,95.09274749058004,4.291,212.984,859.283,1084119.17996,0.748,465.83410995
Peru,PER,2023,266958720837.988,8.490887410078505,6.45561348369583,-22.53610517867217,4.899,NA,NA,139301.013166,NA,69.84225579
Peru,PER,2024,289221969059.853,8.339584544000024,2.00770739412715,-68.8998203006147,5.199,NA,NA,NA,NA,14.48823528
Philippines,PHL,2019,376823402239.136,8.644141883325085,2.39206534422405,-54.946144655717355,2.237,NA,NA,NA,NA,NA
Philippines,PHL,2020,361751145451.597,-3.999819729342073,2.39316239316239,0.04586199708085479,2.522,56.27,56.27,NA,1.792,80.9902447965
Philippines,PHL,2021,394087359848.11,8.9388008312028,3.92718022100329,64.10003066335197,3.398,152.53,208.8,939005.5513126,2.307,370.940584141
Philippines,PHL,2022,404353369604.631,2.605008635769933,5.82115811213955,48.227424883811395,2.598,41.225,250.025,550654.44424,1.132,121.906550923
Philippines,PHL,2023,437055627244.424,8.0875442368067,5.97802515541414,2.694773793336017,2.409,NA,NA,122551.377765,NA,12.310868262
Philippines,PHL,2024,461617509782.355,5.619852715955239,3.21260487006343,-46.25976327393239,NA,NA,NA,NA,NA,0.605452536
Palau,PLW,2019,281941600,-2.2889567462830054,0.267379679144385,-87.32620320855614,NA,NA,NA,NA,NA,NA
Palau,PLW,2020,258990800,-8.140267346145443,0.218181818181818,-18.400000000000052,0.765,NA,NA,NA,NA,0
Palau,PLW,2021,235752900,-8.972480875768559,2.61248185776488,1097.3875181422377,NA,NA,NA,NA,NA,0
Palau,PLW,2022,255591100,8.414827558855055,12.3526638378124,372.8325213473741,NA,NA,3308.2,NA,NA,506.07289
Palau,PLW,2023,281849100,10.27344066362248,12.8199748216534,3.7830786134608982,NA,NA,NA,NA,NA,0
Papua New Guinea,PNG,2019,24750626029.8777,2.658030488172577,3.92867290939596,-10.191276815924684,NA,NA,NA,NA,NA,NA
Papua New Guinea,PNG,2020,23848447849.6081,-3.645072165772842,4.87167398565552,24.003043725127736,NA,NA,NA,NA,1.445,0.88207821
Papua New Guinea,PNG,2021,26109413521.3117,9.480556914905272,4.48359014042398,-7.966129227330064,NA,NA,NA,49762.5343979,1.43,56.94304779
Papua New Guinea,PNG,2022,31653185952.609,21.232849319929077,5.25323922215241,17.165910746151507,2.689,NA,25.042,19753.8145478,0.712,7.74268646
Papua New Guinea,PNG,2023,30816367066.9594,-2.64371140049688,2.29869991296791,-56.242238060004745,NA,NA,NA,2724.6219623,NA,3.0382692899999997
Papua New Guinea,PNG,2024,32538480023.9998,5.5883062182459895,0.602403921107926,-73.79371192779371,NA,NA,NA,NA,NA,0
Poland,POL,2019,602683770144.88,1.3566955963299163,2.22747880938301,22.86477211312246,3.267,NA,NA,NA,NA,NA
Poland,POL,2020,605914186117.953,0.5360051378679791,3.37446972618589,51.492786910982346,3.155,198.507,198.507,954.7818,1.404,746.162624827
Poland,POL,2021,689170171187.004,13.74055715751861,5.05502704719269,49.80211580995,3.268,529.97,728.477,1212833.91595,1.501,1782.328824129
Poland,POL,2022,695607522884.822,0.9340728846012748,14.4294507575758,185.4475480124127,2.811,236.404,964.881,292081.129379,0.395,559.452631779
Poland,POL,2023,812451128978.58,16.797346527993888,11.5289127961105,-20.101513288317296,2.743,NA,NA,21368.5052341,NA,44.417542901
Poland,POL,2024,914696430325.391,12.584794050979369,3.78426007512869,-67.1759155260036,2.807,NA,NA,NA,NA,19.225892276
Pre-demographic dividend,PRE,2019,1435723143391.13,5.363813098838551,2.45280214062729,-17.347381200139456,NA,NA,NA,NA,NA,NA
Pre-demographic dividend,PRE,2020,1318892160079.38,-8.137431220604213,3.48393567493207,42.03900172889908,NA,NA,NA,NA,NA,NA
